年,週,月,開始日,終了日,都道府県,エボラ出血熱_報告,エボラ出血熱_累積,クリミア・コンゴ出血熱_報告,クリミア・コンゴ出血熱_累積,痘そう_報告,痘そう_累積,南米出血熱_報告,南米出血熱_累積,ペスト_報告,ペスト_累積,マールブルグ病_報告,マールブルグ病_累積,ラッサ熱_報告,ラッサ熱_累積,急性灰白髄炎_報告,急性灰白髄炎_累積,結核_報告,結核_累積,ジフテリア_報告,ジフテリア_累積,重症急性呼吸器症候群_報告,重症急性呼吸器症候群_累積,中東呼吸器症候群_報告,中東呼吸器症候群_累積,鳥インフルエンザ（Ｈ５Ｎ１）_報告,鳥インフルエンザ（Ｈ５Ｎ１）_累積,鳥インフルエンザ（Ｈ７Ｎ９）_報告,鳥インフルエンザ（Ｈ７Ｎ９）_累積,コレラ_報告,コレラ_累積,細菌性赤痢_報告,細菌性赤痢_累積,腸管出血性大腸菌感染症_報告,腸管出血性大腸菌感染症_累積,腸チフス_報告,腸チフス_累積,パラチフス_報告,パラチフス_累積,Ｅ型肝炎_報告,Ｅ型肝炎_累積,ウエストナイル熱_報告,ウエストナイル熱_累積,Ａ型肝炎_報告,Ａ型肝炎_累積,エキノコックス症_報告,エキノコックス症_累積,黄熱_報告,黄熱_累積,オウム病_報告,オウム病_累積,オムスク出血熱_報告,オムスク出血熱_累積,回帰熱_報告,回帰熱_累積,キャサヌル森林病_報告,キャサヌル森林病_累積,Ｑ熱_報告,Ｑ熱_累積,狂犬病_報告,狂犬病_累積,コクシジオイデス症_報告,コクシジオイデス症_累積,サル痘_報告,サル痘_累積,ジカウイルス感染症_報告,ジカウイルス感染症_累積,重症熱性血小板減少症候群_報告,重症熱性血小板減少症候群_累積,腎症候性出血熱_報告,腎症候性出血熱_累積,西部ウマ脳炎_報告,西部ウマ脳炎_累積,ダニ媒介脳炎_報告,ダニ媒介脳炎_累積,炭疽_報告,炭疽_累積,チクングニア熱_報告,チクングニア熱_累積,つつが虫病_報告,つつが虫病_累積,デング熱_報告,デング熱_累積,東部ウマ脳炎_報告,東部ウマ脳炎_累積,鳥インフルエンザ(Ｈ５Ｎ１を除く）_報告,鳥インフルエンザ(Ｈ５Ｎ１を除く）_累積,ニパウイルス感染症_報告,ニパウイルス感染症_累積,日本紅斑熱_報告,日本紅斑熱_累積,日本脳炎_報告,日本脳炎_累積,ハンタウイルス肺症候群_報告,ハンタウイルス肺症候群_累積,Ｂウイルス病_報告,Ｂウイルス病_累積,鼻疽_報告,鼻疽_累積,ブルセラ症_報告,ブルセラ症_累積,ベネズエラウマ脳炎_報告,ベネズエラウマ脳炎_累積,ヘンドラウイルス感染症_報告,ヘンドラウイルス感染症_累積,発しんチフス_報告,発しんチフス_累積,ボツリヌス症_報告,ボツリヌス症_累積,マラリア_報告,マラリア_累積,野兎病_報告,野兎病_累積,ライム病_報告,ライム病_累積,リッサウイルス感染症_報告,リッサウイルス感染症_累積,リフトバレー熱_報告,リフトバレー熱_累積,類鼻疽_報告,類鼻疽_累積,レジオネラ症_報告,レジオネラ症_累積,レプトスピラ症_報告,レプトスピラ症_累積,ロッキー山紅斑熱_報告,ロッキー山紅斑熱_累積,アメーバ赤痢_報告,アメーバ赤痢_累積,ウイルス性肝炎_報告,ウイルス性肝炎_累積,カルバペネム耐性腸内細菌感染症_報告,カルバペネム耐性腸内細菌感染症_累積,急性弛緩性麻痺_報告,急性弛緩性麻痺_累積,急性脳炎_報告,急性脳炎_累積,クリプトスポリジウム症_報告,クリプトスポリジウム症_累積,クロイツフェルト・ヤコブ病_報告,クロイツフェルト・ヤコブ病_累積,劇症型溶血性レンサ球菌感染症_報告,劇症型溶血性レンサ球菌感染症_累積,後天性免疫不全症候群_報告,後天性免疫不全症候群_累積,ジアルジア症_報告,ジアルジア症_累積,侵襲性インフルエンザ菌感染症_報告,侵襲性インフルエンザ菌感染症_累積,侵襲性髄膜炎菌感染症_報告,侵襲性髄膜炎菌感染症_累積,侵襲性肺炎球菌感染症_報告,侵襲性肺炎球菌感染症_累積,水痘（入院例）_報告,水痘（入院例）_累積,先天性風しん症候群_報告,先天性風しん症候群_累積,梅毒_報告,梅毒_累積,播種性クリプトコックス症_報告,播種性クリプトコックス症_累積,破傷風_報告,破傷風_累積,バンコマイシン耐性黄色ブドウ球菌感染症_報告,バンコマイシン耐性黄色ブドウ球菌感染症_累積,バンコマイシン耐性腸球菌感染症_報告,バンコマイシン耐性腸球菌感染症_累積,百日咳_報告,百日咳_累積,風しん_報告,風しん_累積,麻しん_報告,麻しん_累積,薬剤耐性アシネトバクター感染症_報告,薬剤耐性アシネトバクター感染症_累積,重症急性呼吸器症候群（SARS)_報告,重症急性呼吸器症候群（SARS)_累積,中東呼吸器症候群(MERS)_報告,中東呼吸器症候群(MERS)_累積,ウエストナイル熱（ウエストナイル脳炎含む）_報告,ウエストナイル熱（ウエストナイル脳炎含む）_累積,重症熱性血小板減少症候群(SFTS)_報告,重症熱性血小板減少症候群(SFTS)_累積,腎症候性出血熱（HFRS)_報告,腎症候性出血熱（HFRS)_累積,鳥インフルエンザ(H5N1及びH7N9を除く）_報告,鳥インフルエンザ(H5N1及びH7N9を除く）_累積,ハンタウイルス肺症候群（HPS)_報告,ハンタウイルス肺症候群（HPS)_累積,カルバペネム耐性腸内細菌科細菌感染症_報告,カルバペネム耐性腸内細菌科細菌感染症_累積,後天性免疫不全症候群（ＨＩＶ感染症を含む）_報告,後天性免疫不全症候群（ＨＩＶ感染症を含む）_累積,エムポックス_報告,エムポックス_累積,カルバペネム耐性腸内細菌目細菌感染症_報告,カルバペネム耐性腸内細菌目細菌感染症_累積
2023,32,8,2023-08-07,2023-08-13,新潟県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,112,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,5,0.0,0.0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,1,0,1,,,0,1,0,7,0,0,0,1,1,9,0.0,4.0,0,0,0,2,0,0,0,25,0,4,0,0,1,70,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,21.0
2023,32,8,2023-08-07,2023-08-13,富山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,2,0,1,,,0,0,0,2,0,0,0,0,0,11,0.0,0.0,0,0,1,9,0,0,0,18,0,6,0,0,0,14,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,14.0
2023,32,8,2023-08-07,2023-08-13,石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,55,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,23,0,1,0,0,0,6,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,2,0,1,,,0,1,0,7,0,0,0,0,0,1,0.0,3.0,0,0,0,1,0,0,0,16,0,5,0,0,2,42,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,10.0
2023,32,8,2023-08-07,2023-08-13,福井県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,8,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,4,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,3,,,0,0,0,3,0,0,0,1,0,4,0.0,0.0,0,2,0,1,0,0,0,8,0,2,0,0,0,26,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,4.0
2023,32,8,2023-08-07,2023-08-13,山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,0,,,0,0,0,5,0,0,0,0,0,1,0.0,1.0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,5.0
2023,32,8,2023-08-07,2023-08-13,長野県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,94,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,3,25,0,0,0,0,1,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,22,0,0,0,0,0,2,0,1,,,0,2,0,9,0,0,0,5,0,13,0.0,2.0,0,1,0,5,0,2,0,9,0,1,0,0,3,51,0,5,0,1,0,0,0,1,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,15.0
2023,32,8,2023-08-07,2023-08-13,岐阜県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,148,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0.0,0.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,0,0,0,0,0,0,0,2,,,0,1,0,1,0,0,1,1,0,12,0.0,11.0,0,1,0,9,0,0,0,19,0,5,0,0,1,83,0,1,0,2,0,0,0,0,0,18,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,9.0
2023,32,8,2023-08-07,2023-08-13,静岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,209,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,24,0,0,0,0,0,5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,0,0,0,0,0,11,0,1,,,0,0,0,15,0,0,0,5,0,17,2.0,10.0,0,2,0,7,0,0,0,19,1,10,0,0,3,204,0,2,0,2,0,0,1,10,0,7,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,15.0
2023,32,8,2023-08-07,2023-08-13,愛知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,602,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,68,0,0,0,2,0,5,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0.0,0.0,0,0,0,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,73,0,1,0,0,0,23,0,7,,,0,0,1,23,0,0,0,3,1,42,1.0,61.0,0,0,1,30,1,1,0,82,0,17,0,0,6,552,0,6,1,5,0,0,0,2,1,24,0,0,0,2,0,3,,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,90.0
2023,32,8,2023-08-07,2023-08-13,三重県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,108,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0,0,0,33,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1,0,1,,,0,3,0,3,0,0,0,0,0,11,0.0,2.0,0,0,0,6,0,0,0,16,0,1,0,0,0,76,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,23.0
2023,32,8,2023-08-07,2023-08-13,滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,78,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,1,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,3,0,0,,,0,0,1,4,0,0,0,1,0,10,0.0,1.0,0,0,0,6,0,0,0,17,0,6,0,0,0,48,0,2,0,1,0,0,0,1,0,9,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,8.0
2023,32,8,2023-08-07,2023-08-13,京都府,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,221,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0,0,5,0,0,,,0,2,0,2,0,0,0,7,0,9,0.0,4.0,0,0,0,13,0,0,0,29,0,5,0,0,2,94,0,1,0,1,0,0,0,3,0,2,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,19.0
2023,32,8,2023-08-07,2023-08-13,大阪府,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,576,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,6,105,0,4,0,0,2,8,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0.0,0.0,0,0,0,7,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,75,0,1,0,0,0,27,0,15,,,0,1,0,15,0,0,0,4,0,38,1.0,48.0,0,2,0,33,0,2,1,85,1,17,0,0,16,1252,0,5,0,1,0,0,0,10,0,30,0,2,0,4,0,1,,,,,,,,,,,,,,,,,,,0.0,19.0,2.0,85.0
2023,32,8,2023-08-07,2023-08-13,兵庫県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,300,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,3,79,0,2,0,0,0,4,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0.0,4.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0.0,0.0,0,0,0,3,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,14,1,10,,,0,0,0,15,0,0,0,4,0,20,1.0,13.0,0,1,0,23,0,1,1,56,0,4,0,0,4,291,0,4,0,2,0,0,0,1,0,38,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,35.0
2023,32,8,2023-08-07,2023-08-13,奈良県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,116,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0.0,0.0,0,0,0,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2,0,4,,,0,0,0,3,0,0,0,0,0,11,0.0,4.0,0,0,0,6,0,0,0,23,0,9,0,0,0,61,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,18.0
2023,32,8,2023-08-07,2023-08-13,和歌山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,1,18,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,2,,,0,0,0,2,0,0,0,2,0,3,0.0,2.0,0,0,0,2,0,0,1,6,0,0,0,0,0,38,0,1,0,0,0,0,0,8,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,7.0
2023,32,8,2023-08-07,2023-08-13,鳥取県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,1,,,0,1,0,3,0,1,0,0,0,2,0.0,3.0,0,0,0,0,0,0,0,6,0,0,0,0,0,19,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,3.0
2023,32,8,2023-08-07,2023-08-13,島根県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,47,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,2,80,0,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0.0,4.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0,0,1,10,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,1,0,4,0.0,2.0,0,0,0,1,0,0,1,13,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0,20.0
2023,32,8,2023-08-07,2023-08-13,岡山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,139,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,46,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,1,4,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,7,0,3,,,0,1,0,6,0,0,0,0,0,4,0.0,3.0,0,1,0,6,0,0,1,15,0,5,0,0,2,171,0,0,0,1,0,0,0,1,0,17,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,12.0
2023,32,8,2023-08-07,2023-08-13,広島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,210,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,33,0,0,0,0,0,3,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1.0,5.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0,0,2,40,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,7,0,4,,,0,0,0,4,0,0,0,5,0,7,0.0,7.0,0,1,0,3,0,0,0,14,0,7,0,0,1,277,0,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,32.0
2023,32,8,2023-08-07,2023-08-13,山口県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,103,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1.0,12.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0,0,0,7,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,,,0,0,0,9,0,0,0,0,0,6,0.0,6.0,0,0,0,5,0,0,0,8,0,0,0,0,2,67,0,1,0,1,0,0,0,2,0,4,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,20.0
2023,32,8,2023-08-07,2023-08-13,徳島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,1,4,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,1,0,0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,1,0,0,0,0,0,53,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
2023,32,8,2023-08-07,2023-08-13,香川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,54,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,28,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0.0,6.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,3,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,0,0,,,0,0,0,1,0,0,0,1,0,3,0.0,2.0,0,0,0,3,0,0,0,12,0,0,0,0,0,81,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,8.0
2023,32,8,2023-08-07,2023-08-13,愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,6,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,2,0,3,,,0,1,0,1,0,0,0,0,0,8,0.0,1.0,0,0,1,3,0,0,0,4,0,2,0,0,2,85,0,1,0,0,0,0,0,2,0,19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,14.0
2023,32,8,2023-08-07,2023-08-13,高知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0.0,9.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,9,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0,0,0,4,0,0,0,8,0,0,0,0,1,40,0,2,0,1,0,0,0,0,0,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,6.0
